Programme;SIREN;NIC;Dénomination;Montant;Objet 2020;Convention 2020;Date de création de l'établissement;Etat administratif;Siège;Répertoire national des associations;Catégorie juridique;COG : code;COG : libellé;Activité;Nomenclature de l'activité;Economie sociale et solidaire
147;378956247;27;RESEAU ENTRAIDE ET RELATION TERRE R;          3 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;01/11/2000;Non déterminé;Non;W461000167;9220;46042;Cahors;88.99B;NAFRev2;O
147;378956247;27;RESEAU ENTRAIDE ET RELATION TERRE R;         30 657,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;01/11/2000;Non déterminé;Non;W461000167;9220;46042;Cahors;88.99B;NAFRev2;O
147;378968549;14;ENTR AIDES GUYANE;         18 200,00;Actions en faveur de l'accès aux soins l'éducation;;01/07/1990;Non déterminé;Non;W9C1000003;9220;97302;Cayenne;88.99B;NAFRev2;O
147;378974067;35;FORMATION ACCUEIL PROMOTION;         15 000,00;Insertion sociale et dans l'emploi;;15/06/1999;Non déterminé;Non;W451000458;9220;45208;Montargis;85.59A;NAFRev2;O
147;378976690;32;ANGLE INTERMAIDE RTVL;         15 842,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;01/01/2013;Non déterminé;Non;W595018033;9220;59512;Roubaix;88.99B;NAFRev2;O
147;378996094;33;GARROS SERVICES REGIE DE QUARTIER;         11 050,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;15/05/2017;Non déterminé;Non;;9220;32013;Auch;88.99B;NAFRev2;O
147;378998371;17;ASSOCIATION FEU VERT;         22 500,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;30/05/1989;Non déterminé;Non;W302000381;9220;30189;Nîmes;94.99Z;NAFRev2;O
147;379004625;32;MISSION LOCALE DU NORD MEUSIEN;         29 000,00;Accueil des jeunes 16-25 ans : emploi, santé,  formation, accompagnement social;;14/09/2011;Non déterminé;Non;W553000717;9220;55545;Verdun;84.13Z;NAFRev2;N
147;379004625;32;MISSION LOCALE DU NORD MEUSIEN;          4 270,00;Accueil des jeunes 16-25 ans : emploi, santé,  formation, accompagnement social;;14/09/2011;Non déterminé;Non;W553000717;9220;55545;Verdun;84.13Z;NAFRev2;N
147;379011141;23;SECOURS POPULAIRE FRANCAIS;         25 000,00;Insertion sociale et dans l'emploi;;01/11/2014;Non déterminé;Non;W741001795;9220;74010;Annecy;88.99B;NAFRev2;O
147;379022130;15;CHARLEVILLE MEZIERES CANOE KAYAK;          3 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;01/01/1979;Non déterminé;Non;W081000044;9220;8105;Charleville-Mézières;93.12Z;NAFRev2;O
147;379046535;33;ASSOC CREATION THEATRALE AUDIOVISEL;         27 000,00;Animation sociale des quartiers;;02/03/2010;Non déterminé;Non;;9220;95680;Villiers-le-Bel;90.01Z;NAFRev2;O
